id,college_name,college_slug,district,city,region
242,"Hi-Tech Institute of Technology, Aurangabad",hi-tech-institute-of-technology-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
243,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",aurangabad-college-of-engineering-naygaon-savangi-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
244,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",kalyani-charitable-trust-late-gambhirrao-natuba-sapkal-college-of-engineering-anjaneri-trimbakeshwar-road-nashik,Nashik,Nashik,Nashik / North Maharashtra
245,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",vishwatmak-jangli-maharaj-ashram-trust-kokamthan-atma-malik-institute-of-technology--research,Ahmednagar,Kopargaon,Nashik / North Maharashtra
246,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",maeers-mit-college-of-railway-engineering-and-research-jamgaon-barshi,Solapur,Barshi,Pune Region
247,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's, Anuradha Engineering College, Chikhali",paramhansa-ramkrishna-maunibaba-shikshan-santhas-anuradha-engineering-college-chikhali,Maharashtra,Other,Maharashtra
248,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",jagadamba-education-soc-nashiks-s-n-d-college-of-engineering--reserch-babulgaon,Nashik,Nashik,Nashik / North Maharashtra
249,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",dattakala-group-of-institutions-swami-chincholi-tal-daund-dist-pune,Pune,Pune,Pune Region
250,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",shri-shivaji-education-societys-college-of-engineering-and-technology-akola,Akola,Akola,Vidarbha
251,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",shri-sai-shikshan-sanstha-nagpur-institute-of-technology-nagpur,Nagpur,Nagpur,Vidarbha
252,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",leela-education-society-g-v-acharya-institute-of-engineering-and-technology-shelu-karjat,Raigad,Karjat,Mumbai Region
253,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",samridhi-sarwajanik-charitable-trust-jhulelal-institute-of-technology-nagpur,Nagpur,Nagpur,Vidarbha
254,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",shree-yash-pratishthan-shreeyash-college-of-engineering-and-technology-aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Chhatrapati Sambhajinagar (Marathwada)
255,"Yashoda Technical Campus, Wadhe, Satara.",yashoda-technical-campus-wadhe-satara,Satara,Satara,Pune Region
256,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",sahyadri-valley-college-of-engineering--technology-rajuri-pune,Pune,Pune,Pune Region
257,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",dr-a-d-shinde-college-of-engineering-tal-gadhinglaj-kolhapur,Kolhapur,Gadhinglaj,Pune Region
258,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",padmashri-dr-v-b-kolte-college-of-engineering-malkapur-buldhana,Buldhana,Malkapur,Vidarbha
